Title,Movie ID,Genre,Production Company,Budget,Revenue,Overview,Release Date
Florence Foster Jenkins,315664,Comedy,BBC Films,29000000,48902953,"The story of Florence Foster Jenkins, a New York heiress, who dreamed of becoming an opera singer, despite having a terrible singing voice.",2016-05-06
Fifty Shades of Black,351819,Romance,Open Road Films,20000000,21164799,An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship.,2016-01-28
Morgan,377264,Horror,TSG Entertainment,8000000,8810591,A corporate risk-management consultant must determine whether or not to terminate an artificial being's life that was made in a laboratory environment.,2016-09-01
Lights Out,345911,Horror,Atomic Monster,4900000,148868835,"When Rebecca left home, she thought she left her childhood fears behind. Growing up, she was never really sure of what was and wasn’t real when the lights went out…and now her little brother, Martin, is experiencing the same unexplained and terrifying events that had once tested her sanity and threatened her safety. A frightening entity with a mysterious attachment to their mother, Sophie, has reemerged.",2016-07-21
Teenage Mutant Ninja Turtles: Out of the Shadows,308531,Fantasy,5150 Action,135000000,245623848,"After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.",2016-06-01
Swiss Army Man,347031,Comedy,A24,3000000,4210454,"Alone on a tiny deserted island, Hank has given up all hope of ever making it home again. But one day everything changes when a dead body washes ashore, and he soon realizes it may be his last opportunity to escape certain death. Armed with his new “friend” and an unusual bag of tricks, the duo go on an epic adventure to bring Hank back to the woman of his dreams.",2016-06-24
Bad Santa 2,338964,Comedy,Ingenious Media,26000000,23229371,"Fueled by cheap whiskey, greed and hatred, Willie Soke teams up with his angry little sidekick, Marcus, to knock off a Chicago charity on Christmas Eve. Along for the ride is chubby and cheery Thurman Merman, a 250-pound ray of sunshine who brings out Willie's sliver of humanity. Issues arise when the pair are joined by Willie's horror story of a mother, who raises the bar for the gang's ambitions, while somehow lowering the standards of criminal behavior.",2016-11-23
Rock Dog,333667,Adventure,Dream Factory Group,60000000,9420546,"When a radio falls from the sky into the hands of a wide-eyed Tibetan Mastiff, he leaves home to fulfill his dream of becoming a musician, setting into motion a series of completely unexpected events.",2016-07-08
Incarnate,241258,Horror,WWE Studios,5000000,6341855,An exorcist comes up against an evil from his past when he uses his skills to enter the mind of a nine year old boy.,2016-12-01
The Light Between Oceans,283552,Drama,DreamWorks,20000000,25956113,A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from an adrift rowboat.,2016-09-02
Keeping Up with the Joneses,331313,Action,Parkes+MacDonald Image Nation,40000000,29918745,An ordinary suburban couple finds it’s not easy keeping up with the Joneses – their impossibly gorgeous and ultra-sophisticated new neighbors – especially when they discover that Mr. and Mrs. “Jones” are covert operatives.,2016-10-20
Masterminds,213681,Action,Broadway Video,25000000,29200000,A night guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history.,2016-09-29
Fences,393457,Drama,Paramount,24000000,64414761,"In 1950s Pittsburgh, a frustrated African-American father struggles with the constraints of poverty, racism, and his own inner demons as he tries to raise a family.",2016-12-16
Train to Busan,396535,Action,NEW,8820000,87547518,"Martial law is declared when a mysterious viral outbreak pushes Korea into a state of emergency. Those on an express train to Busan, a city that has successfully fended off the viral outbreak, must fight for their own survival…",2016-07-20
Green Room,313922,Horror,Film Science,5000000,3220371,A young punk rock band find themselves trapped in a secluded venue after stumbling upon a horrific act of violence.,2016-04-15
Café Society,339397,Comedy,Perdido Productions,30000000,43763247,"The story of a young man who arrives in Hollywood during the 1930s hoping to work in the film industry, falls in love, and finds himself swept up in the vibrant café society that defined the spirit of the age.",2016-05-11
Paterson,370755,Comedy,Inkjet Productions,5000000,2152738,"A week in the life of a bus driver and poet named Paterson, and his supportive wife Laura.",2016-11-17
Billy Lynn's Long Halftime Walk,293767,Drama,TriStar Productions,40000000,30930984,19-year-old Billy Lynn is brought home for a victory tour after a harrowing Iraq battle. Through flashbacks the film shows what really happened to his squad - contrasting the realities of war with America's perceptions.,2016-11-10
Batman: The Killing Joke,382322,Action,Warner Bros. Animation,3500000,3775000,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness. Based on the graphic novel by Alan Moore and Brian Bolland.",2016-07-21
The Edge of Seventeen,376660,Comedy,Tang Media Productions,9000000,18803648,"Two high school girls are best friends until one dates the other's older brother, who is totally his sister's nemesis.",2016-11-18
Risen,335778,Drama,Patrick Aiello Productions,20000000,46069568,"Follows the epic Biblical story of the Resurrection, as told through the eyes of a non-believer. Clavius, a powerful Roman Military Tribune, and his aide Lucius, are tasked with solving the mystery of what happened to Jesus in the weeks following the crucifixion, in order to disprove the rumors of a risen Messiah and prevent an uprising in Jerusalem.",2016-02-19
Moana,277834,Adventure,Walt Disney Pictures,150000000,643331111,"In Ancient Polynesia, when a terrible curse incurred by Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the demigod to set things right.",2016-11-23
Skiptrace,270774,Action,JC Group International,32000000,58500000,A detective from Hong Kong teams up with an American gambler to battle against a notorious Chinese criminal.,2016-07-21
Elle,337674,Drama,Filmförderungsanstalt (FFA),9804690,2341534,"When Michèle, the CEO of a gaming software company, is attacked in her home by an unknown assailant, she refuses to let it alter her precisely ordered life. She manages crises involving family, all the while becoming engaged in a game of cat and mouse with her stalker.",2016-05-25
Dangal,360814,Drama,Aamir Khan Productions,10400000,310000000,"Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.",2016-12-23
Nine Lives,322240,Fantasy,Fundamental Films,30000000,57814445,A stuffy businessman finds himself trapped inside the body of his family's cat.,2016-08-03
Free State of Jones,316152,Action,Vendian Entertainment,50000000,25035950,"In 1863, Mississippi farmer Newt Knight serves as a medic for the Confederate Army. Opposed to slavery, Knight would rather help the wounded than fight the Union. After his nephew dies in battle, Newt returns home to Jones County to safeguard his family but is soon branded an outlaw deserter. Forced to flee, he finds refuge with a group of runaway slaves hiding out in the swamps. Forging an alliance with the slaves and other farmers, Knight leads a rebellion that would forever change history.",2016-06-24
